story:  John didn't know he was being followed. "When he got on the train, a man approached him." He handed John a small piece of paper. It said RAVINCORP in bold letters. "John had been offered a job by the CIA, he just didn't know it yet."	 query:event: The man was holding a piece of paper starts before He hand John a small piece of paper  	pred: negative	 label: positive
story:  Joe had to deliver one-hundred guns to the rebels in Carson. He filled up his wagon with them and covered them with a blanket. He didn't expect to be searched, so he didn't bother hiding them. When he saw the border guards, he almost ran for it. Somehow he kept his cool and made it across.	 query:event: The border guards hated the rebels. starts before He n't expect to be searched  	pred: negative	 label: positive
story:  Joe had to deliver one-hundred guns to the rebels in Carson. He filled up his wagon with them and covered them with a blanket. He didn't expect to be searched, so he didn't bother hiding them. When he saw the border guards, he almost ran for it. Somehow he kept his cool and made it across.	 query:event: The border guards hated the rebels. starts after He n't expect to be searched  	pred: positive	 label: negative
story:  Jax worked for a mechanic's shop. A customer brought in a car for a repair. The customer left her purse in the car. Jax stole the purse. Jax was fired for taking the purse.	 query:event: The customer noticed her purse was missing. starts after jax stole the purse  	pred: negative	 label: positive
story:  Jax worked for a mechanic's shop. A customer brought in a car for a repair. The customer left her purse in the car. Jax stole the purse. Jax was fired for taking the purse.	 query:event: The customer noticed her purse was missing. starts before jax stole the purse  	pred: positive	 label: negative
story:  Kay was attending a self empowerment seminar. She was excited as the first presenter was her favorite author. "She sat through the opening session, rapt with attention." "By the end of the day, her head was full of great ideas." She went back to her hotel room to rest for the next day's conference.	 query:event: Kay had a long day. starts before Kay attend a self empowerment seminar  	pred: negative	 label: positive
story:  Kay was attending a self empowerment seminar. She was excited as the first presenter was her favorite author. "She sat through the opening session, rapt with attention." "By the end of the day, her head was full of great ideas." She went back to her hotel room to rest for the next day's conference.	 query:event: Kay had a long day. starts after Kay attend a self empowerment seminar  	pred: positive	 label: negative
story:  Emma was getting ready to graduate from high school. She wanted to go to college but could not afford it. Her parents were unable to help her financially. Emma received a letter from the scholarship organization. She received the scholarship and was able to attend college.	 query:event: Emma graduated high school starts after she received a letter from the scholarship organization  	pred: negative	 label: positive
story:  Emma was getting ready to graduate from high school. She wanted to go to college but could not afford it. Her parents were unable to help her financially. Emma received a letter from the scholarship organization. She received the scholarship and was able to attend college.	 query:event: Emma graduated high school starts before she received a letter from the scholarship organization  	pred: positive	 label: negative
story:  Amy was at the theater to see a movie. She wanted popcorn, and candy, and soda. She only had $5 for snacks. Amy could only have one of the snacks she wanted. Beth offered to share her popcorn so Amy could buy candy.	 query:event: Amy brought more money but only had $5 for snacks starts before She only have $ 5 for snacks  	pred: negative	 label: positive
story:  Amy was at the theater to see a movie. She wanted popcorn, and candy, and soda. She only had $5 for snacks. Amy could only have one of the snacks she wanted. Beth offered to share her popcorn so Amy could buy candy.	 query:event: Amy brought more money but only had $5 for snacks starts after She only have $ 5 for snacks  	pred: positive	 label: negative
story:  Nicole was watching a movie on her iPad. She heard a noise in the other end of the house. "She got up to check, and fell." "After picking up the iPad, Nicole realized the screen was cracked." She decided to take it to the store and see if it could be fixed.	 query:event: Nicole was alone in the house starts before Nicole watch a movie on her iPad  	pred: negative	 label: positive
story:  Kathy didn't like Sue. Kathy started rumours about Sue. Sue found out Kathy was talking about her. Sue and Kathy got in an argument. Sue never talked to Kathy again.	 query:event: Sue leaves a negative impression on Kathy. starts before Kathy start rumours about Sue  	pred: negative	 label: positive
story:  Kathy didn't like Sue. Kathy started rumours about Sue. Sue found out Kathy was talking about her. Sue and Kathy got in an argument. Sue never talked to Kathy again.	 query:event: Sue leaves a negative impression on Kathy. starts after Kathy start rumours about Sue  	pred: positive	 label: negative
story:  A flock of pigeons were flying in one direction. They landed on top of an electrical wire. A human was walking around. They tried to move the wire to get through. The birds quickly flew away.	 query:event: The person didn't want to chase the birds away starts before They try to move the wire to get through  	pred: negative	 label: positive
story:  A flock of pigeons were flying in one direction. They landed on top of an electrical wire. A human was walking around. They tried to move the wire to get through. The birds quickly flew away.	 query:event: The person didn't want to chase the birds away starts after They try to move the wire to get through  	pred: positive	 label: negative
story:  Tim got nervous when he couldn't find his wallet. "He looked all around his office, to no avail." He borrowed money from a friend for lunch. He left work early and went home to search. He was relieved to find his wallet under his bed.	 query:event: Tim reached for his wallet starts before Tim get nervous  	pred: negative	 label: positive
story:  Tim got nervous when he couldn't find his wallet. "He looked all around his office, to no avail." He borrowed money from a friend for lunch. He left work early and went home to search. He was relieved to find his wallet under his bed.	 query:event: Tim reached for his wallet starts after Tim get nervous  	pred: positive	 label: negative
story:  The scouts gathered around the hot fire. The scoutmaster had five initiates lined up ready to walk. He prepped their feet and they started to walk across the coals. As the last initiate successfully made it across, the scouts cheered. The s'mores and marshmallows were brought out to celebrate.	 query:event: The scoutmaster talked to the five initiates. starts before the scoutmaster had five initiates lined up ready to walk.  	pred: negative	 label: positive
story:  The scouts gathered around the hot fire. The scoutmaster had five initiates lined up ready to walk. He prepped their feet and they started to walk across the coals. As the last initiate successfully made it across, the scouts cheered. The s'mores and marshmallows were brought out to celebrate.	 query:event: The scoutmaster talked to the five initiates. starts after the scoutmaster had five initiates lined up ready to walk.  	pred: positive	 label: negative
story:  Jeremy had never tried Mexican food. One day his friends took him to an authentic Mexican restaurant. Jeremy decided to try the cheese enchiladas with rice and beans. He thought his meal was delicious. Jeremy went back several times afterward to try other entrees.	 query:event: Jeremy sent his compliments to the chef. starts before he went back several times  	pred: negative	 label: positive
story:  Jeremy had never tried Mexican food. One day his friends took him to an authentic Mexican restaurant. Jeremy decided to try the cheese enchiladas with rice and beans. He thought his meal was delicious. Jeremy went back several times afterward to try other entrees.	 query:event: Jeremy sent his compliments to the chef. starts after he went back several times  	pred: positive	 label: negative
story:  Jane like to rollerblade. She took out her blades and put them on her feet. It was a bit rainy outside so she asked her mom if it was ok. Her mom agreed that Jane only stay outside for a few minutes. Jane went outside and rolled around the block.	 query:event: Jane has a mom  starts before It be a bit rainy outside so she asked her mom if it was ok  	pred: negative	 label: positive
story:  Jane like to rollerblade. She took out her blades and put them on her feet. It was a bit rainy outside so she asked her mom if it was ok. Her mom agreed that Jane only stay outside for a few minutes. Jane went outside and rolled around the block.	 query:event: Jane has a mom  starts after It be a bit rainy outside so she asked her mom if it was ok  	pred: positive	 label: negative
story:  I was sitting in class falling asleep. "Suddenly, the teacher asked me a question." I sat there speechless. I randomly told the teacher that two was the answer. "Surprisingly, I was completely right."	 query:event: The class was silent starts after the teacher asked me a question  	pred: negative	 label: positive
story:  I was sitting in class falling asleep. "Suddenly, the teacher asked me a question." I sat there speechless. I randomly told the teacher that two was the answer. "Surprisingly, I was completely right."	 query:event: The class was silent starts before the teacher asked me a question  	pred: positive	 label: negative
story:  I work hard everyday to be independent. Sometimes I don't have anything to show how hard I work. I treat myself to fast bard when I can. I steal salt and pepper packets from restaurants. I fill my home salt and pepper shakers with stolen condiment packets.	 query:event: I order food from the menu. starts after I treat myself to fast food when I can.  	pred: negative	 label: positive
story:  I work hard everyday to be independent. Sometimes I don't have anything to show how hard I work. I treat myself to fast bard when I can. I steal salt and pepper packets from restaurants. I fill my home salt and pepper shakers with stolen condiment packets.	 query:event: I order food from the menu. starts before I treat myself to fast food when I can.  	pred: positive	 label: negative
story:  Jack has a test in science. He has been studying all week. He still does not feel ready. Jack got to his test and failed. He begged his teacher for a retake and she said no.	 query:event: Jack failed the class starts after Jack failed the test  	pred: negative	 label: positive
story:  Jack has a test in science. He has been studying all week. He still does not feel ready. Jack got to his test and failed. He begged his teacher for a retake and she said no.	 query:event: Jack failed the class starts before Jack failed the test  	pred: positive	 label: negative
story:  Cayla was running in the park one day when she fell to the grass. She tried to stand back up but the world around her was spinning. She started to cry and her mom ran to her to care for her. She told her mom everything was spinning and they went to the ER. The ER Doctor diagnosed Cayla with having vertigo.	 query:event: Cayla was scared starts before the world around her was spinning.  	pred: positive	 label: negative
story:  Martha bought groceries and proceeded to go home. When she carried in her groceries she saw the bag leaking. The carton of eggs were squished. Martha went back to the grocery store. She was able to get another carton of eggs for free.	 query:event: Martha talked to customer service at the store starts after she went back to the store  	pred: negative	 label: positive
story:  Martha bought groceries and proceeded to go home. When she carried in her groceries she saw the bag leaking. The carton of eggs were squished. Martha went back to the grocery store. She was able to get another carton of eggs for free.	 query:event: Martha talked to customer service at the store starts before she went back to the store  	pred: positive	 label: negative
story:  I like going to a brewery a few blocks from my house. It has a very convenient location for me. It offers free pint glasses on each patron's first tour. I have a cabinet full of those pint glasses. I simply buy the tour any time I see a new employee.	 query:event: The speaker enjoys collecting pint glasses starts before I like going to a brewery a few blocks from my house  	pred: negative	 label: positive
story:  I like going to a brewery a few blocks from my house. It has a very convenient location for me. It offers free pint glasses on each patron's first tour. I have a cabinet full of those pint glasses. I simply buy the tour any time I see a new employee.	 query:event: The speaker enjoys collecting pint glasses starts after I like going to a brewery a few blocks from my house  	pred: positive	 label: negative
story:  Joe had to deliver one-hundred guns to the rebels in Carson. He filled up his wagon with them and covered them with a blanket. He didn't expect to be searched, so he didn't bother hiding them. When he saw the border guards, he almost ran for it. Somehow he kept his cool and made it across.	 query:event: Joe hand counted all of the guns. starts before He n't expect to be searched  	pred: negative	 label: positive
